software name,RP Name,overview,core features,tags,research area,research discipline,software type,software class,Software's Web Page,Software Documentation,Tutorials
Ghostscript,ACES,"Ghostscript is a suite of software based on an interpreter for Adobe Systems' PostScript and PDF page description languages. It is commonly used for converting PostScript files to PDF. Ghostscript can also render PDF files, display them on the screen, or print them on printers that don't support PDF directly.","Interpreting PostScript and PDF page description languages, Converting PostScript files to PDF, Rendering PDF files, Displaying PDF files on screen, Printing PDF files on non-PDF printers","postscript, pdf, interpreter, conversion, rendering, printing",Document Processing,Computer Science,Interpreter,Utility,,,
trim,,The TRIM (Thermal Radiation Interaction Model) software is used in computational fluid dynamics (CFD) simulations to accurately model thermal radiation exchanges within fluid flows. TRIM helps in studying the impact of thermal radiation on heat transfer and temperature distribution in various engineering applications.,"Incorporates thermal radiation effects in CFD simulations, Calculates radiative heat transfer between surfaces and fluids, Supports modeling of emittance, absorptivity, and thermal conductivity, Enhances accuracy of temperature predictions in complex fluid systems","CFD simulation, thermal radiation modeling, engineering software",Thermal Analysis,Mechanical Engineering,Radiation Modeling Software,Simulation Tool,,,
librsvg,"ACES, Rockfish","librsvg is a library for rendering Scalable Vector Graphics (SVG) images. It provides functions for loading, parsing, and rendering SVG files, allowing developers to display vector graphics in their applications.","Rendering SVG images, Loading and parsing SVG files, Vector graphics rendering, Scalable image display","SVG images, vector graphics, image rendering",Vector Graphics,Computer Graphics,Image Rendering,Library,,,
Blender,ACES,"Blender is a free and open-source 3D creation suite for modeling, animation, rendering, and interactive design. It offers a wide range of tools for creating 3D visualizations, animations, games, and simulations, making it popular among artists, designers, and developers.","3D modeling, animation, and rendering, Interactive design tools, Supports creation of games and simulations","3D creation software, Animation tool",,,Suite,3D Design,https://www.blender.org/,https://docs.blender.org/manual/en/latest/,"https://www.youtube.com/watch?v=TPrnSACiTJ4&list=PLjEaoINr3zgHs8uzT3yqe4iHGfkCmMJ0P , https://en.wikibooks.org/wiki/Blender_3D:_Noob_to_Pro "
MemoryViewer,ACES,"MemoryViewer is a software tool used for inspecting and analyzing memory usage and data within a computer system. It allows users to visualize memory allocations, inspect memory contents, and diagnose memory-related issues.","Memory inspection, Data visualization, Memory issue diagnosis","Memory Analysis, Memory Management, Data Visualization",Memory Analysis,Computer Science,Memory Analysis Tool,Tool,,,
libxsmm,"ACES, Rockfish","libxsmm is a library for small matrix-matrix multiplications (SGEMM, DGEMM, CGEMM, ZGEMM) with runtime generated code and simplicity in mind. It is efficient on Intel architectures and offers optimized routines for various matrix multiplication tasks.","Small matrix-matrix multiplication support, Optimized routines for SGEMM, DGEMM, CGEMM, ZGEMM, Runtime generated code, Efficient on Intel architectures","matrix multiplication, optimized routines, Intel architecture",Linear Algebra,Computer Science,Matrix Multiplication,Library,,,
hypothesis,ACES,Hypothesis is a powerful property-based testing tool for Python that enables developers to write test cases based on specifications and generate a wide range of test inputs automatically. It helps in discovering edge cases and improving test coverage in software projects.,"Property-based testing for Python code, Automated generation of test inputs based on specifications, Identification of edge cases and potential bugs","Testing Tool, Property-Based Testing, Python",Testing,Software Engineering,Property-Based Testing Tool,Testing Tool,,,
ACTC,ACES,ACTC (Adaptive Computing Toolkit for Core architectures) is a compiler toolset focused on optimizing code for high performance on HPC systems with Core architectures. It leverages adaptive techniques to improve code execution speed on parallel computing platforms.,"Optimizing code for HPC systems, Utilizes adaptive techniques for performance optimization, Designed for Core architectures","Compiler, HPC tool",,,HPC Tool,Compiler,https://sourceforge.net/projects/actc/,https://sourceforge.net/p/actc/wiki/Documents/,"""ACTC Tutorial - Balancing Triangle Strips"": https://www.gamedev.net/articles/programming/graphics/actc-tutorial---balancing-triangle-strips-r1974/"
libunistring,,"libunistring is a library that provides functions for manipulating Unicode strings and characters, offering support for various Unicode operations and text processing tasks. It enables developers to work with Unicode data in a portable and efficient manner.","Unicode string manipulation, Support for Unicode operations, Text processing functions, Portable Unicode data handling","Unicode strings, text processing, Unicode operations",Unicode Processing,Computer Science,Unicode Handling,Library,,,
BEDOPS,Bridges-2,"BEDOPS is a suite of tools for highly efficient manipulation of genomic data files in the BED (Browser Extensible Data) format. It offers a collection of command-line utilities for set operations, interval conversions, and genome arithmetic on genomic datasets.","Suite of tools for genomic data manipulation in BED format, Efficient set operations and interval conversions, Genome arithmetic on genomic datasets","Genomic data manipulation, BED format tools",Genomic Data Analysis,Genomics,Tool,Genomics Tool,https://bedops.readthedocs.io/en/latest/,,
Boost,"OOKAMI, Stampede-2, Anvil, KyRIC, ACES, Bridges-2, Rockfish","Boost is a collection of C++ libraries that provides support for various tasks and functionalities, ranging from data structures and algorithms to system, network, and multi-threading capabilities. It is widely used in C++ software development to extend the language's functionality and performance.","Collection of C++ libraries, Supports data structures, algorithms, and system capabilities, Versatile functionalities for C++ development","C++ libraries, Software development",,,Development Tool,Library,https://www.boost.org/,https://www.boost.org/doc/libs/,"https://www.boost.org/doc/libs/1_77_0/more/getting_started/index.html , https://theboostcpplibraries.com/ , https://www.packtpub.com/product/boostasio-c-network-programming-cookbook/9781783986545 "
ISA,,"The ISA (Investigation, Study, Assay) infrastructure suite is a general-purpose software suite for the organization, management, and storage of life science data. It provides a framework for describing and capturing information on the experimental metadata, particularly data from high-throughput assays, in a more structured way.","Organizing, managing, and storing life science data, Describing and capturing experimental metadata, Structured representation of data from high-throughput assays","metadata management, life science data, high-throughput assays, data organization",High-throughput Assays,Life Sciences,Data Organization,Metadata Management,,,
tqdm,ACES,"tqdm is a fast, extensible progress bar library for Python and command line applications. It provides a simple and customizable way to visualize the progress of iterative tasks, making it easier for users to track the execution of loops and tasks.","Dynamic progress bar with time estimation, Supports various iterable objects, Customizable bar styles and appearance, Integration with Jupyter notebooks","progress bar, Python library, command line tool",,,Progress Bar,Library,,,
VMD,"Stampede-2, ACES, Rockfish","VMD (Visual Molecular Dynamics) is a molecular visualization program that enables researchers to visualize and analyze molecular dynamics simulations, protein structures, and biomolecular complexes. It provides a range of visualization and analysis tools for studying molecular systems in biophysics and computational biology.","Visualizing molecular structures and dynamics in 3D, Rendering high-quality molecular graphics and animations, Analyzing trajectories from molecular dynamics simulations, Integration with various molecular modeling and simulation software","molecular visualization, biophysics software, computational biology tool",Molecular Dynamics,Biophysics,Molecular Visualization Software,Tool,https://www.ks.uiuc.edu/Research/vmd/,https://www.ks.uiuc.edu/Research/vmd/vmd-1.9.4/ug/,https://www.ks.uiuc.edu/Training/Tutorials/
ParFlow,Rockfish,"ParFlow is an integrated, modular, parallel, distributed hydrologic model that simulates surface and subsurface water flow across multiple scales in complex, variably saturated natural media. It is often used for modeling hydrological processes in watersheds, aquifers, and river basins.","Modular design, Parallel and distributed computing capabilities, Simulation of surface and subsurface water flow, Variably saturated media modeling, Multi-scale modeling capabilities","hydrological modeling, surface water flow, subsurface water flow, watershed modeling, aquifer modeling, river basin modeling",Hydrological modeling,Hydrology,Hydrological simulation software,Scientific modeling software,,,
FastANI,Bridges-2,FastANI (Fast Average Nucleotide Identity) is a bioinformatics tool used for rapid and accurate calculation of average nucleotide identity between bacterial genomes. It aids in comparing and analyzing genomic similarities and differences between bacterial strains for taxonomic classification and evolutionary studies.,"Calculates average nucleotide identity for bacterial genomes, Rapid and accurate genomic comparisons, Supports taxonomic classification and evolutionary analysis","Genomic comparison, Taxonomic classification",Genomic Analysis,Bioinformatics,Tool,Genomic Tool,,,
tcsh,ACES,"tcsh is an enhanced version of the C shell (csh) with interactive command-line features for Unix-based systems. It provides a powerful shell with scripting capabilities, line editing, and command history functionalities. tcsh is known for its robust scripting language and interactive shell environment.","Interactive shell, Scripting capabilities, Command-line editing","Unix shell, command-line, scripting",Shell Scripting,Computer Science,Command Interpreter,Shell,https://www.tcsh.org/,https://web.archive.org/web/20170617232609/http://www.tcsh.org/tcsh.html/top.html,https://web.archive.org/web/20161021170817/http://www.tcsh.org/TipsAndTricks
LSMS,Bridges-2,"The Locally Self-consistent Multiple Scattering (LSMS) code is a highly scalable, parallel electronic structure simulation tool based on real space, multiple scattering theory. It is used to study the electronic structure of materials, their physical and chemical properties, and their response to external perturbations.","1. Highly scalable and parallel code
2. Based on real space, multiple scattering theory
3. Study electronic structure of materials
4. Analyze physical and chemical properties of materials
5. Investigate materials response to external perturbations","electronic structure simulation, materials science, computational chemistry",Electronic Structure,Materials Science,Simulation Tool,Electronic Structure Calculation,,,
CGAL,ACES,"CGAL (Computational Geometry Algorithms Library) is a powerful C++ library for geometric computing that provides efficient and robust algorithms for solving geometric problems. It covers a wide range of geometric applications including computational geometry, mesh generation, and visualization.","C++ library for geometric computing, Robust algorithms for geometric problems, Applications in computational geometry and mesh generation","Computational geometry, Geometric algorithms",,,Library,Geometry Library,https://www.cgal.org/,https://doc.cgal.org/latest/Manual/,"https://doc.cgal.org/latest/Manual/preliminaries.html, https://doc.cgal.org/latest/Manual/packages.html"
SCOTCH,ACES,"SCOTCH is a software package for graph partitioning, ordering, clustering, and sparse matrix block ordering. It provides efficient algorithms for decomposing large graphs and matrices into smaller components for parallel computing.","Graph partitioning algorithms, Sparse matrix ordering, High-performance parallel computing","Graph Partitioning, Sparse Matrix Ordering, Parallel Computing",Graph Algorithms,Computer Science,Library,Optimization Tool,,,
ngmlr,Rockfish,Next Generation Mapping Long Reads (ngmlr) is an aligner designed to map long nanopore or PacBio reads to a reference genome for accurate variant calling and structural variation discovery.,"1. Aligns long nanopore or PacBio reads to a reference genome.
2. Optimized for accuracy in variant calling and structural variation discovery.
3. Supports multiple output formats for downstream analysis.","ngmlr, aligner, variant calling, structural variation, long reads",Genomics,Bioinformatics,Open Source,Alignment Tool,,,
Zip,ACES,"Zip is a popular utility for compressing and archiving files and directories into a single zip file. It provides a convenient way to reduce file sizes, organize data for storage or transmission, and create compressed archives that can be easily shared and extracted.","File compression and archiving, Support for various compression levels, Creation and extraction of zip archives","File Compression, Archiving Tool, Utility Software",Data Compression,Computer Science,Utility,Compression Tool,,,
ImageMagick,"OOKAMI, ACES, Delta, Rockfish","ImageMagick is a free and open-source software suite for displaying, converting, and editing raster image files. It can read and write over 200 image file formats and includes tools for creating animations and batch processing images.","Read and write over 200 image file formats, Batch processing images, Creating animations, Conversion of images between different formats, Editing raster image files","Image processing, Raster images, Batch processing, Open-source","Image Processing, Computer Vision","Computer Science, Digital Arts",Graphics,Utility,,,
PMIx,"KyRIC, ACES, Rockfish, Rockfish","PMIx (Process Management Interface for Exascale) is a library that provides a high-speed, flexible, and scalable interface for managing the execution of applications in HPC environments.","Job management, Resource management, Scalability, Fault tolerance","HPC, High-Performance Computing, Process Management, Resource Management",High-Performance Computing,Computer Science,Process Management,Library,,,
Intel,"Expanse, OOKAMI, Stampede-2, KyRIC, ACES, Rockfish","Intel Corporation is an American multinational corporation and technology company that produces semiconductor chips for various computing devices. They are known for their powerful processors used in personal computers, servers, and other devices.","Intel processors are known for their high performance, power efficiency, and reliability. They are widely used in the computing industry for a variety of applications, from gaming to data centers.","semiconductor, computing, processors",,,Semiconductor,Hardware,,,
Mesa,"ACES, Rockfish, Rockfish",Mesa is an open-source 3D graphics library that provides software-based rendering for OpenGL-compatible applications. It serves as an implementation of the OpenGL specification and supports graphics rendering on various platforms.,"OpenGL compatibility, Software-based rendering, Cross-platform support","Graphics Library, OpenGL Implementation, Cross-Platform Rendering",Graphics Rendering,Computer Graphics,Graphics Rendering Tool,Library,,,
bedtools2,Rockfish,bedtools2 is a versatile and efficient software suite for manipulating genomic features and genomic intervals. It provides a wide range of tools for genomic data analysis.,"Comprehensive set of operations on genomic intervals, Efficient handling of large genomic datasets, Intersect, merge, complement, and other operations, Integration with various genomic data formats, Customizable and scriptable","genomics, genomic data analysis, bioinformatics, data processing",Genomic Analysis,Genomics,Open Source,Genomic tools,https://github.com/arq5x/bedtools2,,https://bedtools.readthedocs.io/en/latest/content/example-usage.html
binutils,ACES,"binutils is a collection of binary tools for creating, manipulating, and analyzing binary files. It includes essential utilities for working with executable files, object files, and libraries.","Compilation and linking utilities, Disassembly and symbolic manipulation of executables, Binary file format conversion, Debugging information handling, Support for multiple architectures","binary tools, compilation, debugging, software development",Software Development,Computer Science,Open Source,Development Tools,https://www.gnu.org/software/binutils/,https://sourceware.org/binutils/docs/,
Compiler,KyRIC,A compiler is a programming tool that translates code written in a high-level programming language to a lower level language (often machine code) to create an executable program.,"Translates high-level code to machine code, Performs syntax and semantic analysis, Optimizes code for efficiency","programming, software development, code optimization",Programming Languages,Computer Science,Compiler,Development Tools,,,
CUDAcore,ACES,CUDAcore is a software library that enables developers to leverage the computational power of NVIDIA GPUs for parallel processing and general-purpose computing.,"Utilizes the CUDA architecture for parallel processing, Provides functions for efficient GPU programming, Supports acceleration of diverse computational tasks","GPU computing, Parallel processing, CUDA programming",Parallel Computing,Computer Science,GPU Acceleration,Library,,,
pkgconfig,ACES,pkg-config is a helper tool used when compiling applications and libraries. It helps to manage compile and link flags for libraries that the code depends on.,"Helps manage compile and link flags for libraries, Assists in locating and determining the flags needed to use a library, Simplifies the process of compiling and linking applications","compilation, linking",,,Utility,Build Tools,https://www.freedesktop.org/wiki/Software/pkg-config/,https://people.freedesktop.org/~dbn/pkg-config-guide.html,https://autotools.info/pkgconfig/
Scikit,,"Scikit is a collection of machine learning and data analysis tools built on the scientific computing library NumPy. It provides efficient implementations of various algorithms for classification, regression, clustering, and more in a user-friendly Python interface.","Machine learning algorithms, Data preprocessing and model evaluation, Integration with NumPy and SciPy libraries","Machine Learning, Data Analysis, Python Library",Machine Learning,Computer Science,Library,Machine Learning Library,,,
Caffe,"Stampede-2, Bridges-2","Caffe is a deep learning framework developed by the Berkeley Vision and Learning Center (BVLC) designed for image recognition, segmentation, and other deep learning tasks. It provides a flexible architecture for building convolutional neural networks (CNNs) and deep neural networks for machine learning applications.","Deep learning framework for image recognition, Flexible architecture for CNNs and deep neural networks, Support for various deep learning tasks","Deep learning, Image recognition",,,Tool,Deep Learning Framework,,,
Zarr,ACES,"Zarr is a Python library and file format for storing and managing large, multidimensional arrays efficiently. It provides a flexible and scalable way to store array data in chunks, enabling high-performance data access, compression, and parallel I/O. Zarr is well-suited for handling multi-dimensional array data in scientific computing and data analysis.","Efficient storage of large multidimensional arrays, Chunk-based storage for parallel I/O and compression, Support for labeled and hierarchically organized arrays, Integrates with NumPy and Dask for array manipulation","array storage, data management, Python library",Scientific Computing,Data Science,Data Storage Tool,Library,,,
CliMetLab,ACES,"CliMetLab is a Python-based library for climate, meteorological, and atmospheric sciences, providing a wide range of tools for data processing, analysis, and visualization in these domains. It offers modules for handling climate data, conducting meteorological analysis, and creating visualizations for atmospheric studies.","Python library for climate and atmospheric sciences, Tools for data processing and analysis, Modules for climate data handling and visualization","Climate science, Atmospheric sciences",Meteorology,Climate Science,Library,Scientific Library,,,
FLASh,Bridges-2,FLASh (Fast Length Adjustment of SHort reads) is a very accurate and fast tool for merging paired-end reads from next-generation sequencing experiments. FLASh is designed to merge pairs of reads when the original DNA fragments are shorter than twice the length of reads.,"Merge paired-end reads, Accurate and fast, Handles short DNA fragments effectively","NGS data analysis, Sequence data processing, Paired-end read merging",Genomics,Bioinformatics,Tool,Sequence Analysis,,,
DPCT,KyRIC,DPCT (Data Parallel C++) is a compiler tool that allows developers to achieve better performance on Intel GPUs by converting CUDA code to Data Parallel C++ (DPC++). This conversion enables the code to run on GPUs that support oneAPI specifications.,"Converts CUDA code to Data Parallel C++, Enables code to run on Intel GPUs supporting oneAPI","compiler, GPU, CUDA, DPC++",Parallel Computing,Computer Science,Development Tool,Compiler,,,
gperftools,"OOKAMI, ACES","Google Performance Tools (gperftools) is a collection of performance analysis and profiling tools designed to help developers optimize the performance of their applications. It includes tools for CPU and heap profiling, heap checking, and more.","CPU and heap profiling for performance analysis, Memory leak detection and heap checking, Efficient and lightweight profiling tools","Performance Optimization, Profiling, Memory Management",Performance Analysis,Software Development,Performance Optimization Tool,Profiling Tools,,,
dill,ACES,Dill is a powerful Python serialization library for serializing and de-serializing Python objects.,1. Serialize Python objects to a file stream or byte string. 2. Can serialize objects with reference cycles. 3. Works with a wide range of Python data types. 4. Offers a range of customization options for serialization. 5. Supports highest protocol version available in Python.,"serialization, Python","Data Science, Machine Learning",Computer Science,Serialization,Library,,,
Xpdf,Rockfish,"Xpdf is an open-source viewer for Portable Document Format (PDF) files, offering basic viewing, navigation, and text extraction capabilities. It provides a lightweight and efficient PDF viewer for Unix-like systems, enabling users to access and read PDF documents without the need for a full-fledged PDF reader.","Viewing and navigating PDF documents, Text extraction and search functionality, Support for basic PDF rendering and printing, Minimalistic and lightweight PDF viewer","PDF viewer, document reader, text extraction tool",,,PDF Tool,Viewer,https://www.xpdfreader.com/,https://www.xpdfreader.com/xpdf-man.html,https://www.experts-exchange.com/videos/213/Xpdf-Command-Line-Utilities-for-PDF-Files.html
MKL,"KyRIC, Bridges-2","MKL (Math Kernel Library) is a highly optimized, threaded, and parallel math library developed by Intel. It offers performance-optimized mathematical functions for various computations, including linear algebra, FFT, and random number generation.","Optimized math functions, Threaded and parallel computations, Linear algebra operations, Fast Fourier Transform (FFT), Random number generation","Math library, Optimization, Parallel computing","Numerical Computing, Parallel Algorithms","Computer Science, Mathematics",Mathematics,Library,,,
hdf,"Anvil, ACES","Hierarchical Data Format (HDF) refers to a versatile file format commonly used to store and manage large volumes of complex data, such as scientific datasets and images. It provides a standardized and efficient way for organizing and sharing data.","Storage and management of complex datasets, Hierarchical file structure for organizing data, Support for various data types and metadata","Data Storage, Scientific Datasets, File Format",Data Management,Data Science,Data Storage Tool,Data Format,,,
ESMF,ACES,"ESMF (Earth System Modeling Framework) is a software infrastructure for developing and coupling Earth system models, designed to facilitate interoperability and portability across diverse modeling systems. It provides a framework for high-performance computing, parallel simulations, and ensemble modeling in Earth system science.","Software infrastructure for Earth system models, Facilitates model interoperability and portability, Supports high-performance computing and ensemble modeling","Earth system modeling, Model coupling",Modeling Framework,Earth System Science,Tool,Modeling Infrastructure,,,
M4,ACES,M4 is a macro processor used for generating text files. It is particularly useful for simplifying the creation of text files with repetitive sections or for automating certain text generation tasks.,"Allows for defining macros, Supports conditional statements, Provides looping structures, Can be integrated into various scripting languages","macro processor, text generation, automation",,,utility,text processing,,,
SquashFS,,"SquashFS is a compressed read-only filesystem with built-in compression providing space-efficient storage. It is commonly used in embedded systems, live CDs, and Linux distributions to compress filesystem images and reduce storage space requirements while maintaining efficient access to files.","Read-only filesystem, Compression, Space-efficient storage","filesystem compression, embedded systems, storage efficiency",System Administration,Computer Science,Compression Tool,Filesystem,,,
AnnotSV,Rockfish,"AnnotSV is a tool designed for annotating and prioritizing structural variants (SV) detected from genome sequencing data. It provides detailed annotations about SVs, such as their impact on genes, regulatory regions, and potential clinical significance.","Annotates and prioritizes structural variants, Provides detailed annotations on SV impacts, Analyzes SVs for gene and regulatory region impact","Structural variant annotation, Genomic analysis",Structural Variant Analysis,Genomics,Tool,Genomic Annotation Tool,https://lbgi.fr/AnnotSV/,,https://github.com/lgmgeo/AnnotSV
YAML,OOKAMI,"YAML (YAML Ain't Markup Language) is a human-readable data serialization format that is commonly used for configuration files, data exchange, and structured data representation. It aims to be easily readable by humans and supports various data structures and nested data hierarchies, making it a popular choice for configuration management and data storage.","Human-readable and intuitive data representation, Support for complex data structures and nesting, Flexible and extensible data serialization, Integration with various programming languages and tools","data serialization, configuration file format, structured data representation",Data Management,Information Technology,Serialization Language,Data Format,https://yaml.org/,https://learnxinyminutes.com/docs/yaml/,"https://www.tutorialspoint.com/yaml/index.htm,https://learnxinyminutes.com/docs/yaml/,https://www.cloudbees.com/blog/yaml-tutorial-everything-you-need-get-started"
bedtools,"Bridges-2, Rockfish",bedtools is a powerful suite of tools for manipulating genomic intervals and genomic annotations. It performs various operations on genomic features efficiently.,"Intersection, union, and set operations on genomic intervals, Genomic arithmetic operations, Feature annotation, Quality filtering and analysis, Support for BED, GFF, VCF, and other common formats","genomics, genomic data analysis, bioinformatics, data processing",Genomic Analysis,Genomics,Open Source,Genomic tools,https://bedtools.readthedocs.io/en/latest/,https://bedtools.readthedocs.io/en/latest/content/bedtools-suite.html,https://bedtools.readthedocs.io/en/latest/content/tools/intersect.html
PAM,,PAM (Point Accepted Mutation) is a bioinformatics tool used for phylogenetic analysis to model amino acid replacements over evolutionary time.,1. Models the amino acid substitutions in a phylogenetic tree. 2. Estimates the evolutionary distance between protein sequences. 3. Facilitates the construction of phylogenetic trees based on amino acid sequences.,"bioinformatics, phylogenetics, evolutionary biology",Evolutionary Biology,Biology,Phylogenetic Analysis,Bioinformatics Tool,,,
SUNDIALS,"Stampede-2, ACES, Rockfish","SUNDIALS (SUite of Nonlinear and DIfferential/ALgebraic equation Solvers) is a software suite of robust numerical solvers for ordinary differential equations (ODEs) and differential-algebraic equations (DAEs). It consists of various packages like CVODE, IDA, and ARKODE, offering efficient solutions for time-dependent simulations and mathematical modeling.","ODE solvers, DAE solvers, Time-dependent simulations","numerical solvers, ODEs, DAEs",Differential Equations,Computational Science,Numerical Solver,Suite,https://computing.llnl.gov/projects/sundials,https://computing.llnl.gov/projects/sundials/faq,https://computing.llnl.gov/projects/sundials/usage-notes
Pegasus,Rockfish,"Pegasus is a workflow management system that provides automation capabilities for large-scale scientific computing. It allows users to define, create, execute, monitor, and debug workflows to facilitate complex computational tasks.","Workflow automation, Scalability for large scientific computing, Graph-based representation of workflows, Integration with various execution environments, Dependency management, Error handling and recovery mechanisms","Workflow Management, Computational Science, Automation, Scientific Computing",Computational Workflow Management,Computer Science,Automation Tool,Workflow Management System,https://pegasus.isi.edu/,https://pegasus.isi.edu/documentation/,"https://pegasus.isi.edu/documentation/user-guide/tutorial.html,"
libsodium,"ACES, Rockfish","libsodium is a modern encryption library that provides secure cryptographic primitives and data protection functions. It offers high-level abstractions for encryption, decryption, and secure data handling, promoting best practices in data security.","Secure cryptographic primitives, Encryption and decryption functions, Data protection mechanisms, High-level abstractions for data security","encryption library, data protection, cryptographic primitives",Cryptography,Computer Security,Encryption,Library,,,
wxWidgets,ACES,"wxWidgets is a C++ library that allows developers to create native applications with a single codebase that can run on various platforms, including Windows, macOS, and Linux. It provides a set of GUI widgets and tools for building desktop applications with a consistent look and feel across different operating systems.","Cross-platform GUI development with native look and feel, Extensive collection of UI components and controls, Support for multiple programming languages like C++, Python, and others, Customizable styling and theming options","GUI library, cross-platform development, desktop application framework",,,GUI Development Framework,Library,https://www.wxwidgets.org/,https://docs.wxwidgets.org/3.0/,https://zetcode.com/gui/wxwidgets/
LVM2,,"LVM2 (Logical Volume Manager 2) is a toolset that allows for logical volume management on Linux systems. It enables users to manage storage objects such as physical volumes, volume groups, and logical volumes, providing flexibility and scalability for storage allocation and management.","Logical volume management, Management of physical volumes, Creation and management of volume groups, Allocation and management of logical volumes","logical volume management, storage allocation, volume groups",Storage Management,Computer Systems,Storage Management,Toolset,,,
GaussView,Rockfish,"GaussView is a graphical interface used to build, visualize, and analyze output from Gaussian calculations. It provides an interactive environment for manipulating molecular systems and viewing results of quantum chemical calculations.","Molecular structure building, Visualization of molecular orbitals, Analysis of electronic properties, Display of molecular vibrations and more","visualization, molecular modeling, quantum chemistry, computational chemistry",Theoretical Chemistry,Chemistry,Visualization Tool,Graphical User Interface,,,
netCDF,"OOKAMI, Stampede-2, Anvil, ACES","NetCDF (Network Common Data Form) is a set of software libraries and self-describing, machine-independent data formats that support the creation, access, and sharing of array-oriented scientific data.","Supports storing multiple data arrays in a single file, Preserves data attributes such as units, names, and descriptions, Supports chunking and compression for efficient storage, Provides a suite of tools for data manipulation and visualization","data format, scientific data, data storage",Climate Research,Earth Sciences,Library,Data Management,,,
SynthCity,ACES,SynthCity is a software tool designed for the modeling and simulation of urban dynamics. It provides a platform for researchers and urban planners to explore various scenarios and analyze the impacts of different urban development strategies.,"Urban dynamics modeling, Simulation of urban development scenarios, Impact analysis of strategies, Visualization of results","urban dynamics, simulation, urban planning, scenario analysis",Urban Planning,Urban Studies,Modeling and Simulation,Simulation Tools,,,
GL2PS,ACES,GL2PS is a C library providing high-quality vector output for any OpenGL application. The main purpose of GL2PS is to create high-resolution vector images from 3D scenes rendered by OpenGL.,"1. Generates vector output in PostScript and PDF formats.
2. Supports various features like solid, outlined, and composite polygons; simple polyline; compressed, antialiased, and smooth shaded colors; and text annotations.
3. Configurable output: users can define line styles, line caps, and line joins.
4. Compatible with any OpenGL application, making it suitable for scientific visualization, computational geometry, and computer graphics.","vector output, OpenGL, 3D rendering",Computer Graphics,Computer Science,Graphics Processing,Library,,,
GATK (Genome Analysis Toolkit),,"GATK is a powerful software package for genomic data analysis, particularly focused on variant discovery and genotyping. Developed by the Broad Institute, GATK offers a wide range of tools for processing high-throughput sequencing data, identifying genetic variations, and interpreting genomic datasets.","Genomic data analysis and variant discovery, Tools for genotyping and DNA sequencing analysis, Interpreting genetic variations and genomic data","Genomic analysis, Variant discovery",Variant Calling,Genomics,Tool,Genomic Analysis Toolkit,,,
Time,ACES,"Time is a measurement unit used to quantify the duration or interval between events, or to quantify rates of change of quantities in material reality or in the conscious experience. It is a fundamental concept in various fields such as physics, mathematics, and philosophy.","Measurement of duration, Quantification of interval between events, Quantification of rates of change","measurement, duration, interval, rates of change",,"Physics, Mathematics, Philosophy",Unit of Measurement,Measurement Tool,https://www.gnu.org/software/time/,https://www.gnu.org/software/time/,"https://www.howtoforge.com/linux-time-command,https://www.computerhope.com/unix/utime.htm"
libbsd,,libbsd is a library that provides a collection of functions from the FreeBSD operating system for enhancing compatibility and portability across different Unix-like systems. It includes various system-related functions that are widely used in Unix programming to access system services and perform low-level operations.,"Unix-like system functions for portability, Enhanced compatibility with FreeBSD APIs, Access to system services and low-level operations","Unix Programming, System Functions, Compatibility Library",System Programming,Operating Systems,System Compatibility Tool,Library,,,
ReFrame,ACES,ReFrame is a framework for writing regression tests for high-performance computing (HPC) systems. It allows users to define and run tests to verify the correctness and performance of applications and software stack components on HPC platforms.,"Regression testing for HPC systems, Customizable test definitions, Performance benchmarking","HPC, Regression Testing, Framework",High-Performance Computing,Computer Science,Framework,Testing Tool,,,
py3Dmol,ACES,Py3Dmol is a Python library that provides interactive molecular visualization capabilities in 3D using WebGL. It enables users to create and visualize molecular structures and models with interactive features for molecular exploration.,"3D molecular visualization, Interactive rendering, WebGL integration","molecular visualization, Python library, 3D rendering",Molecular Modeling,Chemistry,Visualization,Library,,,
lifelines,ACES,Lifelines is a Python library that provides tools for survival analysis under right censoring.,"Supports survival and hazard rate estimation, Kaplan-Meier plots, Nelson-Aalen plots, Cox proportional hazard modeling, and parametric survival regression.","Python library, Survival analysis, Right censoring",Clinical trials,Biostatistics,Python library,Statistical analysis,,,
CMJOB,"Expanse, OOKAMI",CMJOB is a computational tool for identifying and characterizing homologs of circular permutations in protein sequences.,"Identification of circular permutations in protein sequences, Characterization of homologs, Analysis of protein structures","Proteomics, Bioinformatics, Protein Analysis",Proteomics,Bioinformatics,Protein sequence analysis,Computational tool,,,
MVAPICH2,"OOKAMI, KyRIC","MVAPICH2 is an open-source MPI (Message Passing Interface) implementation for InfiniBand, iWARP, and RoCE communication protocols.","High performance MPI library, Optimized for HPC clusters, Supports various communication protocols including InfiniBand, iWARP, and RoCE","MPI, HPC, InfiniBand, Communication Protocols",High Performance Computing,Computer Science,Library,Middleware,,,
Metis,"Stampede-2, ACES, Rockfish","Metis is a software tool for partitioning and analyzing graphs and hypergraphs, commonly used in scientific computing and graph-based applications. It enables efficient graph partitioning to optimize computational load balancing and parallel computing performance.","Graph partitioning, Hypergraph analysis, Load balancing optimization","Graph Partitioning, Scientific Computing, Load Balancing",Graph Partitioning,Computer Science,Graph Analysis Tool,Tool,,,
